p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	0.858231141447152	1	0.998	0	0	RPL34
0	0.804206515943132	0.999	0.998	0	0	RPL32
5.2509852603383e-306	0.76861451855125	1	0.997	1.55607697204865e-301	0	RPL11
3.40994059069676e-300	0.791053232188954	1	0.999	1.01050179464708e-295	0	RPS6
5.92980719733847e-298	0.67747255658393	1	1	1.75723906485928e-293	0	RPL13
2.11758379099052e-296	0.80615428287066	1	0.998	6.2752478062213e-292	0	RPS12
1.3358101980481e-286	0.693727479118085	1	0.999	3.95853994089574e-282	0	RPLP2
3.37751365390376e-284	0.670414726244809	1	0.999	1.00089239619784e-279	0	EEF1A1
1.85071859402857e-279	0.671785615037347	1	0.999	5.48441948154425e-275	0	RPS18
1.78034868218304e-274	0.805559731057159	0.999	0.993	5.27588528478121e-270	0	RPL9
6.60837245894302e-257	0.734823650140894	1	0.996	1.95832509448318e-252	0	RPL30
2.27169898879546e-254	0.616717268348841	1	0.999	6.73195278339647e-250	0	RPS14
3.09894682164121e-253	0.604360067767969	1	0.999	9.18341901125156e-249	0	RPS27A
3.66986957320337e-253	0.656831700428972	1	0.998	1.08752914932309e-248	0	RPL19
2.32703674961641e-252	2.00416990016638	0.795	0.265	6.89594070381328e-248	0	IL7R
1.69238096080156e-250	0.823391658916439	0.999	0.981	5.01520173923934e-246	0	RPS13
2.63150084754898e-250	0.720608128405321	1	0.993	7.79818961162663e-246	0	RPS23
6.01456581265565e-245	0.564573357627781	1	1	1.78235643292237e-240	0	RPL13A
8.51512699149195e-243	0.625115655612615	1	0.999	2.52337273265873e-238	0	RPL21
7.04045550930931e-242	0.658054982680686	1	0.996	2.08636858562872e-237	0	RPS25
3.58209921238756e-236	0.767795145871114	0.999	0.992	1.06151928059893e-231	0	RPS3A
4.08839566742724e-231	0.724473180256107	1	0.993	1.21155517208539e-226	0	RPL39
3.27284272529464e-226	0.717433812976597	0.999	0.993	9.69874213213813e-222	0	RPS8
2.9014176235556e-215	0.666401528870299	0.999	0.994	8.59806098564466e-211	0	RPL7
2.38750997360014e-214	0.631446959044732	1	0.998	7.07514705576665e-210	0	RPL3
7.20584560375162e-206	0.510698220276012	1	1	2.13538028621575e-201	0	RPL10
3.7378201642851e-204	0.615764867779627	1	0.997	1.10766562748425e-199	0	RPL18A
