p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
5.37E-120,2.754476423,0.254,0.035,1.59E-115,0,MAL
3.63E-159,2.545748259,0.384,0.069,1.08E-154,0,CCR7
2.33E-252,2.0041699,0.795,0.265,6.90E-248,0,IL7R
7.45E-74,1.88957723,0.275,0.075,2.21E-69,0,SELL
5.71E-63,1.377180982,0.415,0.178,1.69E-58,0,NOSIP
3.80E-191,1.329585594,0.884,0.433,1.13E-186,0,LTB
5.83E-57,1.230047476,0.38,0.157,1.73E-52,0,KLF2
1.48E-39,1.207479816,0.264,0.105,4.37E-35,0,FLT3LG
2.46E-47,1.176075576,0.363,0.158,7.29E-43,0,SOCS3
1.72E-59,1.168494433,0.384,0.152,5.10E-55,0,TCF7
2.01E-36,1.165679016,0.265,0.111,5.95E-32,0,AQP3
1.98E-77,1.078415261,0.568,0.259,5.86E-73,0,GPR183
2.61E-113,1.073590473,0.824,0.513,7.72E-109,0,LDHB
3.86E-164,0.939441752,0.969,0.826,1.14E-159,0,EEF1B2
1.40E-98,0.928845812,0.855,0.578,4.15E-94,0,EIF3E
6.16E-45,0.902375504,0.472,0.243,1.83E-40,0,TMEM123
5.01E-194,0.888434475,0.982,0.901,1.48E-189,0,RPL22
2.22E-41,0.886412178,0.461,0.241,6.59E-37,0,GIMAP7
9.65E-23,0.879227837,0.252,0.128,2.86E-18,0,TRADD
4.74E-49,0.867909143,0.691,0.489,1.41E-44,0,FOS
5.10E-46,0.867472389,0.345,0.143,1.51E-41,0,PLAC8
0,0.858231141,1,0.998,0,0,RPL34
1.69E-250,0.823391659,0.999,0.981,5.02E-246,0,RPS13
2.12E-296,0.806154283,1,0.998,6.28E-292,0,RPS12
1.78E-274,0.805559731,0.999,0.993,5.28E-270,0,RPL9
0,0.804206516,0.999,0.998,0,0,RPL32
2.88E-20,0.793612274,0.26,0.139,8.52E-16,0,EIF2S3
3.41E-300,0.791053232,1,0.999,1.01E-295,0,RPS6
5.25E-306,0.768614519,1,0.997,1.56E-301,0,RPL11
3.58E-236,0.767795146,0.999,0.992,1.06E-231,0,RPS3A
3.53E-25,0.756150844,0.378,0.216,1.05E-20,0,TNFAIP8
3.24E-194,0.75241912,0.998,0.966,9.59E-190,0,RPL36
6.61E-257,0.73482365,1,0.996,1.96E-252,0,RPL30
6.43E-183,0.733213388,0.989,0.959,1.90E-178,0,RPL5
4.09E-231,0.72447318,1,0.993,1.21E-226,0,RPL39
2.63E-250,0.720608128,1,0.993,7.80E-246,0,RPS23
3.27E-226,0.717433813,0.999,0.993,9.70E-222,0,RPS8
1.10E-175,0.716027896,0.999,0.995,3.26E-171,0,TPT1
3.34E-180,0.714250145,0.997,0.972,9.89E-176,0,RPL37
