p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.70E-84,2.802089735,0.633,0.13,5.05E-80,0,IL7R
5.53E-31,1.507120225,0.625,0.326,1.64E-26,0,LTB
4.00E-30,1.326266057,0.699,0.422,1.19E-25,0,FOS
5.57E-12,1.262378056,0.262,0.115,1.65E-07,0,CD55
1.76E-07,1.248813516,0.316,0.199,0.005227377,0,KLRB1
3.23E-12,1.153515256,0.285,0.128,9.57E-08,0,TIMP1
1.85E-11,1.080717732,0.264,0.116,5.48E-07,0,TCF7
2.08E-14,0.944976076,0.455,0.249,6.17E-10,0,GPR183
6.32E-14,0.932443211,0.346,0.154,1.87E-09,0,TMEM123
2.18E-07,0.922899865,0.266,0.15,0.006452372,0,NOSIP
5.55E-07,0.858416623,0.332,0.213,0.016435311,0,PHLDA1
2.73E-18,0.839264846,0.613,0.373,8.09E-14,0,LMNA
3.54E-12,0.819692694,0.389,0.205,1.05E-07,0,ARL4A
5.55E-06,0.77381071,0.344,0.231,0.164525625,0,TXNIP
2.24E-69,0.769815566,1,0.992,6.63E-65,0,TPT1
5.46E-28,0.76135981,0.955,0.816,1.62E-23,0,VIM
3.81E-25,0.744891277,0.842,0.638,1.13E-20,0,S100A10
9.21E-10,0.740536467,0.641,0.482,2.73E-05,0,NFKBIA
1.27E-07,0.73356384,0.293,0.163,0.00377824,0,MT-ND4L
6.35E-21,0.68558199,0.889,0.766,1.88E-16,0,EEF1B2
7.87E-06,0.657472106,0.363,0.237,0.233076051,0,TOB1
2.30E-07,0.656176479,0.342,0.207,0.006825467,0,CAPG
2.49E-09,0.654508182,0.49,0.33,7.37E-05,0,HOPX
1.02E-15,0.646163431,0.736,0.542,3.01E-11,0,FXYD5
2.02E-05,0.609791414,0.324,0.212,0.599868608,0,FOXP1
1.27E-05,0.605119142,0.352,0.232,0.377246875,0,AHNAK
7.05E-21,0.600480873,0.961,0.847,2.09E-16,0,S100A4
2.15E-10,0.597929929,0.574,0.396,6.36E-06,0,PPP1R15A
3.88E-11,0.596198286,0.643,0.458,1.15E-06,0,PLP2
1.11E-10,0.583976983,0.637,0.449,3.28E-06,0,ZFAS1
4.91E-32,0.581777386,0.98,0.97,1.46E-27,0,MT-ND2
6.42E-31,0.581376317,0.982,0.965,1.90E-26,0,MT-CYB
4.27E-24,0.578695079,0.945,0.869,1.27E-19,0,RPL22
8.17E-08,0.578067617,0.469,0.316,0.002421697,0,FOSB
3.95E-06,0.575723716,0.428,0.3,0.117074867,0,RORA
0.00010421,0.563694397,0.25,0.155,1,0,RCAN3
7.37E-09,0.5608305,0.678,0.548,0.000218388,0,S100A11
4.37E-25,0.553688434,0.961,0.939,1.29E-20,0,MT-ND1
4.69E-09,0.551192553,0.482,0.301,0.000139053,0,SMDT1
