p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.086757992,0.875,0.179,0,0,GZMK
0,2.219526381,0.258,0.075,0,0,KLRG1
0,2.124597483,0.512,0.159,0,0,EOMES
0,1.990448215,0.579,0.206,0,0,SLAMF7
0,1.839327776,0.467,0.19,0,0,ITM2C
0,1.795825827,0.537,0.308,0,0,CLDND1
3.02E-280,1.29908207,0.492,0.304,7.33E-276,0,SH2D1A
0,1.266663908,0.769,0.457,0,0,CST7
0,1.238184084,0.42,0.18,0,0,PLEK
8.37E-177,1.236572582,0.32,0.171,2.03E-172,0,TC2N
1.78E-196,1.235076141,0.364,0.204,4.32E-192,0,F2R
1.67E-126,1.210915852,0.308,0.188,4.05E-122,0,CCR5
1.02E-295,1.035858474,0.337,0.139,2.48E-291,0,CRTAM
1.83E-96,0.975755508,0.282,0.174,4.45E-92,0,CD8B
4.85E-85,0.923658135,0.345,0.245,1.18E-80,0,MIAT
2.37E-86,0.904592498,0.374,0.278,5.76E-82,0,NFATC2
5.95E-73,0.893421131,0.317,0.228,1.44E-68,0,ERAP2
3.10E-75,0.890155746,0.277,0.184,7.53E-71,0,TRAT1
0,0.86984122,0.972,0.855,0,0,CD74
3.14E-145,0.867266875,0.486,0.352,7.62E-141,0,GIMAP4
1.21E-82,0.855301462,0.35,0.254,2.93E-78,0,DENND2D
6.93E-65,0.853235322,0.275,0.189,1.68E-60,0,AL365361.1
2.06E-136,0.844067879,0.496,0.378,4.99E-132,0,CD81
8.77E-60,0.833278241,0.312,0.233,2.13E-55,0,ARHGAP25
4.72E-182,0.831580172,0.563,0.407,1.15E-177,0,GIMAP7
4.17E-70,0.822593459,0.355,0.27,1.01E-65,0,APMAP
2.42E-203,0.820712676,0.619,0.47,5.89E-199,0,HLA-DPB1
0,0.816224535,0.668,0.391,0,0,CD8A
1.16E-62,0.809802224,0.363,0.285,2.82E-58,0,ARAP2
5.07E-52,0.804946474,0.322,0.25,1.23E-47,0,LYST
1.24E-95,0.802554826,0.429,0.326,3.01E-91,0,BTN3A1
