p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.65888488410859	0.933	0.32	0	0	TRAC
0	1.35348579924731	0.874	0.291	0	0	CD3D
0	1.61198931384349	0.815	0.256	0	0	CD3E
0	1.54768989108628	0.904	0.373	0	0	LTB
0	2.28480307321187	0.705	0.197	0	0	IL7R
0	2.01902271346414	0.627	0.175	0	0	GIMAP7
0	1.48791464874428	0.753	0.306	0	0	TRBC2
0	0.641617298172383	0.909	0.466	0	0	IL32
0	0.931184265559998	0.691	0.271	0	0	CD2
0	2.5262547456348	0.511	0.098	0	0	CCR7
0	1.59461376354881	0.542	0.157	0	0	CD3G
0	1.19630332739239	0.608	0.232	0	0	LCK
0	1.95667809910079	0.553	0.184	0	0	PIK3IP1
0	0.745869188730236	0.612	0.254	0	0	CD7
0	2.27724090985092	0.466	0.123	0	0	TCF7
0	1.92098369333726	0.501	0.158	0	0	SELL
0	1.02492657363859	0.809	0.476	0	0	CD48
0	1.42740974931017	0.471	0.147	0	0	CD27
0	1.70845091467869	0.536	0.215	0	0	GIMAP4
0	1.03339179008029	0.636	0.323	0	0	ACAP1
0	1.21999312921822	0.658	0.354	0	0	FYB
0	3.61704877237653	0.333	0.033	0	0	LEF1
0	1.43167821639371	0.501	0.205	0	0	TRAF3IP3
0	1.15231873499875	0.529	0.235	0	0	TRBC1
0	1.37113205371141	0.465	0.178	0	0	LAT
0	2.97155177097129	0.321	0.039	0	0	MAL
0	0.913175349332517	0.697	0.42	0	0	LIMD2
0	1.36566038270582	0.878	0.605	0	0	LDHB
0	0.932116684889265	0.726	0.459	0	0	EVL
0	1.16803926032579	0.475	0.211	0	0	CLEC2D
0	2.06086988679441	0.328	0.072	0	0	TRAT1
0	1.11330914417414	0.4	0.153	0	0	SPOCK2
0	1.46442310012885	0.339	0.11	0	0	CD6
0	1.43074617482865	0.378	0.156	0	0	IFITM1
0	1.07491202754131	0.601	0.388	0	0	LEPROTL1
0	1.7703441224197	0.474	0.263	0	0	NOSIP
0	1.73364916360598	0.323	0.12	0	0	GIMAP1
0	2.24660866725823	0.26	0.061	0	0	FLT3LG
0	0.928177179705133	0.855	0.663	0	0	FXYD5
0	1.11126766526774	0.755	0.565	0	0	RPL17
0	0.974678558113154	0.909	0.762	0	0	SARAF
0	0.888104557325335	0.887	0.749	0	0	EIF3E
0	0.97881199710862	0.921	0.791	0	0	RPL36A
0	0.961411348361604	0.938	0.809	0	0	GLTSCR2
