p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.4935502360437147	0.825	0.195	0	0	CD3E
0	2.3125174980103997	0.846	0.219	0	0	TRAC
0	2.190198194001737	0.808	0.195	0	0	CD2
0	2.333422876175902	0.868	0.268	0	0	TRBC2
0	2.2234833487982915	0.921	0.333	0	0	IL32
0	2.3060564803432015	0.734	0.243	0	0	ETS1
0	2.3816714282365266	0.632	0.163	0	0	SPOCK2
0	2.295973960656162	0.588	0.144	0	0	CD3G
0	2.193502799485445	0.6	0.209	0	0	FYN
0	1.7040022490738869	0.623	0.237	0	0	CCL5
0	2.157933493660816	0.525	0.14	0	0	CD3D
0	2.4235939567194174	0.498	0.128	0	0	TRBC1
0	2.9625745303770956	0.472	0.103	0	0	BCL11B
0	2.0298591447607865	0.504	0.15	0	0	CD96
0	1.5755179234848529	0.487	0.149	0	0	GZMA
0	1.759548577126028	0.485	0.149	0	0	IL2RB
0	2.3904543394098536	0.458	0.124	0	0	LCK
0	1.444802802072652	0.633	0.303	0	0	CD69
0	3.404216788890264	0.522	0.196	0	0	IL7R
0	3.0531901898572658	0.474	0.149	0	0	GIMAP7
0	2.265980414656186	0.565	0.241	0	0	SYNE2
0	1.6602640658949661	0.544	0.231	0	0	IKZF3
0	1.8299506072392928	0.473	0.17	0	0	ITM2A
0	1.4414360058752398	0.43	0.152	0	0	CD7
0	4.1135909923413845	0.316	0.04	0	0	TCF7
0	1.7941373670718566	0.457	0.184	0	0	CST7
0	3.4768974163475095	0.315	0.049	0	0	GZMK
0	2.625397938858872	0.347	0.083	0	0	ITK
0	2.0357052666355386	0.441	0.184	0	0	SEPT1
0	2.244699318066414	0.403	0.147	0	0	RASGRP1
0	1.0551424439948702	0.68	0.428	0	0	CD52
0	0.8449355716162841	0.84	0.597	0	0	FYB1
0	1.408818599517323	0.438	0.202	0	0	NKG7
0	1.8679160711965817	0.53	0.296	0	0	EMB
0	1.5351281466404607	0.656	0.423	0	0	ARL4C
0	2.573145179051699	0.31	0.077	0	0	SH2D1A
0	3.022810472515676	0.287	0.057	0	0	CD5
0	1.1354427523424406	0.788	0.559	0	0	IL2RG
0	1.4263083257395623	0.354	0.134	0	0	TIGIT
0	2.4995688099225934	0.309	0.09	0	0	PYHIN1
0	1.5064576156344562	0.351	0.133	0	0	CD8A
0	1.7986345558292456	0.477	0.262	0	0	SLC38A1
0	2.158734121747333	0.535	0.322	0	0	SLFN5
0	1.1749959774201457	0.94	0.73	0	0	PTPRC
0	1.597127030526417	0.414	0.209	0	0	LBH
0	2.0375393350564495	0.293	0.092	0	0	GPR171
0	1.7566989503695187	0.386	0.188	0	0	ACAP1
0	1.5287784397660795	0.388	0.191	0	0	LTB
0	1.571208851485418	0.375	0.181	0	0	CLEC2D
0	0.3101830183907692	0.183	0.377	0	0	ECH1
0	2.3639079537518777	0.278	0.084	0	0	SKAP1
0	2.5791080962003776	0.26	0.067	0	0	CD247
0	0.31911953015158095	0.162	0.355	0	0	TMEM9B
0	1.8895561179174383	0.473	0.28	0	0	ITGAL
0	1.791310248267104	0.512	0.32	0	0	IKZF1
0	0.2668582285839716	0.154	0.346	0	0	DDB1
0	0.8946049748583089	0.853	0.662	0	0	CXCR4
0	0.3020195162551357	0.181	0.37	0	0	COPB1
0	2.045537342625738	0.38	0.192	0	0	PRKCH
0	0.2783384142869675	0.171	0.355	0	0	PTPN2
0	0.2762626865886118	0.163	0.347	0	0	UBQLN1
0	0.8501886637848566	0.843	0.659	0	0	RAC2
0	0.2874797740608843	0.157	0.34	0	0	TMEM87A
0	0.2515907456146809	0.136	0.319	0	0	BTBD1
0	1.9060426988391672	0.343	0.161	0	0	TRAF3IP3
0	1.1924842681285996	0.313	0.132	0	0	PRF1
0	0.2858224107859327	0.133	0.314	0	0	SCAMP3
0	0.25702314274731786	0.132	0.312	0	0	KPNA3
0	2.33615826936639	0.291	0.112	0	0	NFATC2
0	0.3049416669633824	0.173	0.352	0	0	UGP2
0	1.7860843985868256	0.468	0.29	0	0	EVL
0	0.2641208507366645	0.143	0.321	0	0	VPS28
0	2.544475398335401	0.299	0.121	0	0	RORA
0	0.2761066782833343	0.154	0.331	0	0	LARP7
0	0.26104007115847605	0.155	0.331	0	0	DNAJA2
0	0.3312234180681867	0.157	0.333	0	0	MTIF3
0	0.2881369698908068	0.159	0.334	0	0	ABCF1
0	0.26090155737296283	0.138	0.312	0	0	DERL1
0	1.7090926927545702	0.78	0.607	0	0	ZFP36L2
0	0.2576871005734529	0.115	0.287	0	0	SUMF2
0	1.4106102351710308	0.388	0.217	0	0	GNG2
0	0.3913530806837851	0.143	0.313	0	0	MRPL41
0	0.26546048347200946	0.15	0.32	0	0	SPOP
0	1.5737908578170448	0.285	0.115	0	0	FCMR
0	0.3096973766077532	0.151	0.32	0	0	FGD5-AS1
0	0.30315962728542195	0.157	0.326	0	0	POLE3
0	0.2797335408052429	0.128	0.297	0	0	SNRNP27
0	0.29993761474728947	0.155	0.323	0	0	CDC5L
0	1.3904267146844347	0.506	0.34	0	0	AKNA
0	0.3404330884152019	0.129	0.294	0	0	EIF2A
0	0.29161717093641815	0.126	0.291	0	0	RAB6A
0	0.2644916679922443	0.133	0.298	0	0	TIPRL
0	2.2236902296359364	0.277	0.114	0	0	SLAMF6
0	0.2691671395066439	0.146	0.308	0	0	RBBP7
0	0.3118311378330121	0.107	0.268	0	0	IARS2
0	0.3423506270766651	0.147	0.307	0	0	AKT2
0	1.898276834132952	0.439	0.279	0	0	GPRIN3
0	2.1703560522821697	0.38	0.221	0	0	DGKA
0	0.4261886852306689	0.138	0.297	0	0	LRRC58
0	0.40016096757985203	0.131	0.29	0	0	TRIM44
0	1.5716289442946578	0.321	0.163	0	0	CYFIP2
0	1.9734386591207724	0.465	0.308	0	0	MAF
0	0.259208633059436	0.139	0.296	0	0	MINK1
0	1.3315265984049582	0.536	0.38	0	0	CD48
0	0.26041971304598543	0.122	0.277	0	0	PITPNB
0	0.28495727360844736	0.115	0.269	0	0	MAF1
0	0.3231281846792996	0.128	0.282	0	0	ABCE1
0	0.2609907559509328	0.117	0.27	0	0	GYG1
0	0.3220992182672865	0.114	0.267	0	0	PDHB
0	2.064483431127509	0.456	0.303	0	0	RBL2
0	0.2708257362188975	0.118	0.271	0	0	WDR43
0	0.27277279679132116	0.097	0.25	0	0	C19orf24
0	0.9341488781805405	0.592	0.439	0	0	CORO1A
0	0.43152306501703275	0.131	0.284	0	0	DAP3
0	1.5070823080267304	0.446	0.294	0	0	RUNX3
