"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.81048402099689e-209,1.56115118968978,0.441,0.226,1.16856277838056e-204,"1","CCL5"
0,1.46944311688366,0.88,0.684,0,"1","TXNIP"
0,1.15056190149432,0.884,0.647,0,"1","IL7R"
6.02448595131443e-92,1.10157465862485,0.366,0.228,1.4634681272933e-87,"1","GPR171"
2.36087389636383e-39,0.937465136906064,0.262,0.184,5.73503486904702e-35,"1","PARP8"
1.36021397376205e-59,0.884714653648046,0.276,0.17,3.30423178506277e-55,"1","MGAT4A"
1.0728541484415e-34,0.79643073533251,0.265,0.192,2.60617729739408e-30,"1","AC005912.1"
9.04690649685446e-31,0.794836863313878,0.388,0.329,2.19767452621589e-26,"1","MTND2P28"
1.2733827182785e-38,0.787014951591925,0.3,0.22,3.09330129924213e-34,"1","RPL13P12"
9.6210878621578e-119,0.781273190901287,0.542,0.376,2.33715466347537e-114,"1","GIMAP7"
7.15836527932814e-100,0.77415340438096,0.567,0.457,1.73891009365439e-95,"1","AP001324.1"
1.97386795500694e-47,0.758087058049963,0.381,0.294,4.79492003630286e-43,"1","AL590867.2"
2.83180687748112e-61,0.743469752091236,0.459,0.364,6.87902526677713e-57,"1","RPL3P4"
2.51978707375742e-125,0.72481146402366,0.669,0.562,6.12106675957152e-121,"1","EEF1B2"
1.34832349625916e-205,0.722977763797523,0.821,0.737,3.27534743711274e-201,"1","RPL10"
1.69967489191132e-37,0.720028722840417,0.352,0.279,4.12885024743097e-33,"1","RPS27AP16"
1.72771610620828e-109,0.705832989771064,0.518,0.339,4.19696796520116e-105,"1","TCF7"
0,0.702663022126965,0.966,0.92,0,"1","RPS12"
4.15735303822828e-98,0.695718549093254,0.591,0.47,1.00990420004641e-93,"1","CD48"
0,0.695528232612298,0.97,0.924,0,"1","RPLP2"
2.78719222153953e-47,0.67839080514653,0.419,0.336,6.77064734456383e-43,"1","AC116533.1"
2.11204222333876e-60,0.678338772292021,0.43,0.32,5.13057296893452e-56,"1","GIMAP4"
1.06749797247987e-18,0.677532548271474,0.256,0.207,2.59316607474811e-14,"1","ERAP2"
6.18364664194953e-293,0.677393573782899,0.942,0.899,1.50213144226238e-288,"1","RPL13"
1.39980392119801e-33,0.674621250122788,0.282,0.204,3.40040368537421e-29,"1","AL365361.1"
0,0.663688941508349,0.965,0.93,0,"1","RPS18"
2.68764972242259e-62,0.655213686499395,0.415,0.289,6.52883870570896e-58,"1","KLF2"
0,0.651798590045609,0.973,0.94,0,"1","RPL21"
6.82226636262721e-28,0.647982834252291,0.316,0.254,1.6572649448094e-23,"1","RPL34P27"
0,0.64663633543168,0.992,0.976,0,"1","RPS27A"
8.25468542297227e-18,0.635186472632984,0.251,0.204,2.00522818294842e-13,"1","RPL39P3"
2.3236862992363e-301,0.626940355650109,0.952,0.916,5.64469875810481e-297,"1","RPS3"
0,0.625793762987532,0.976,0.954,0,"1","RPL27A"
3.87994431276419e-192,0.62028361932291,0.884,0.827,9.42516072456678e-188,"1","RPL3"
5.33044396260193e-265,0.613939644360034,0.955,0.916,1.29487144739526e-260,"1","RPS4X"
9.15093647626942e-25,0.613234046413768,0.321,0.262,2.22294548881537e-20,"1","ATM"
7.90566620377109e-224,0.610750844322101,0.907,0.837,1.92044443422007e-219,"1","RPS21"
