p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.617048772,0.333,0.033,0,0,LEF1
0,2.971551771,0.321,0.039,0,0,MAL
0,2.526254746,0.511,0.098,0,0,CCR7
0,2.284803073,0.705,0.197,0,0,IL7R
0,2.27724091,0.466,0.123,0,0,TCF7
0,2.246608667,0.26,0.061,0,0,FLT3LG
0,2.060869887,0.328,0.072,0,0,TRAT1
0,2.019022713,0.627,0.175,0,0,GIMAP7
0,1.956678099,0.553,0.184,0,0,PIK3IP1
0,1.920983693,0.501,0.158,0,0,SELL
0,1.770344122,0.474,0.263,0,0,NOSIP
0,1.733649164,0.323,0.12,0,0,GIMAP1
0,1.708450915,0.536,0.215,0,0,GIMAP4
0,1.658884884,0.933,0.32,0,0,TRAC
0,1.611989314,0.815,0.256,0,0,CD3E
0,1.594613764,0.542,0.157,0,0,CD3G
1.08E-233,1.58756392,0.293,0.138,3.21E-229,0,GIMAP2
3.24E-200,1.56527011,0.255,0.118,9.60E-196,0,RCAN3
0,1.547689891,0.904,0.373,0,0,LTB
0,1.487914649,0.753,0.306,0,0,TRBC2
0,1.4644231,0.339,0.11,0,0,CD6
0,1.431678216,0.501,0.205,0,0,TRAF3IP3
0,1.430746175,0.378,0.156,0,0,IFITM1
0,1.427409749,0.471,0.147,0,0,CD27
0,1.371132054,0.465,0.178,0,0,LAT
0,1.365660383,0.878,0.605,0,0,LDHB
0,1.353485799,0.874,0.291,0,0,CD3D
1.34E-254,1.352466474,0.337,0.16,3.96E-250,0,IL16
2.79E-276,1.345170001,0.282,0.11,8.28E-272,0,SIT1
2.04E-289,1.336042823,0.438,0.245,6.04E-285,0,AAK1
3.88E-18,1.250447179,0.258,0.219,1.15E-13,0,MT1X
4.12E-113,1.24989252,0.256,0.151,1.22E-108,0,DENND2D
0,1.219993129,0.658,0.354,0,0,FYB
0,1.196303327,0.608,0.232,0,0,LCK
5.31E-250,1.194159164,0.293,0.122,1.57E-245,0,FCMR
2.62E-178,1.191503401,0.328,0.181,7.77E-174,0,PBXIP1
8.81E-244,1.180632362,0.384,0.199,2.61E-239,0,ARHGAP15
0,1.16803926,0.475,0.211,0,0,CLEC2D
0,1.154930472,0.999,0.984,0,0,RPS29
0,1.152318735,0.529,0.235,0,0,TRBC1
1.03E-125,1.137846173,0.312,0.195,3.05E-121,0,ATM
0,1.129592413,1,0.996,0,0,RPS27
1.08E-255,1.115800161,0.4,0.204,3.21E-251,0,1-Sep
0,1.113309144,0.4,0.153,0,0,SPOCK2
0,1.111267665,0.755,0.565,0,0,RPL17
2.05E-146,1.105483562,0.377,0.251,6.07E-142,0,CCDC109B
0,1.097508463,1,0.994,0,0,RPL34
0,1.074912028,0.601,0.388,0,0,LEPROTL1
4.83E-153,1.056461928,0.351,0.213,1.43E-148,0,PSIP1
2.77E-198,1.053475618,0.417,0.251,8.20E-194,0,6-Sep
0,3.440411487,0.428,0.067,0,1,GZMK
0,3.406463917,0.409,0.092,0,1,DUSP4
0,3.117272728,0.36,0.062,0,1,CD8A
0,2.748693057,0.286,0.052,0,1,CD8B
0,2.57092833,0.265,0.063,0,1,CXCR3
0,2.503687391,0.273,0.068,0,1,TIGIT
0,2.336607171,0.771,0.256,0,1,CD2
0,2.297395245,0.268,0.07,0,1,SH2D1A
0,2.288760727,0.764,0.263,0,1,CCL5
0,2.280531319,0.617,0.165,0,1,GZMA
0,2.216157617,0.287,0.081,0,1,CD96
0,2.150199114,0.953,0.458,0,1,IL32
0,2.111149271,0.854,0.295,0,1,CD3D
0,2.076453424,0.408,0.174,0,1,APOBEC3G
0,1.990468811,0.291,0.119,0,1,FAM46C
0,1.972286855,0.535,0.317,0,1,CREM
0,1.945507,0.32,0.114,0,1,CD6
0,1.945487673,0.875,0.331,0,1,TRAC
0,1.921821211,0.45,0.165,0,1,ITM2A
0,1.920452887,0.419,0.149,0,1,SPOCK2
0,1.872496773,0.501,0.165,0,1,CD3G
1.26E-292,1.837191435,0.41,0.24,3.73E-288,1,LINC00152
0,1.787345813,0.616,0.308,0,1,DUSP2
0,1.780310466,0.756,0.268,0,1,CD3E
0,1.766997643,0.367,0.16,0,1,RORA
2.05E-235,1.750483861,0.304,0.151,6.08E-231,1,CNOT6L
0,1.749408931,0.715,0.314,0,1,TRBC2
0,1.739509332,0.356,0.154,0,1,RUNX3
3.08E-189,1.717082306,0.259,0.127,9.12E-185,1,RP11-138A9.2
1.35E-274,1.711139946,0.413,0.237,4.01E-270,1,TUBA4A
0,1.700739624,0.434,0.186,0,1,FYN
0,1.679685295,0.58,0.325,0,1,TNFAIP3
0,1.678578077,0.598,0.234,0,1,LCK
0,1.671107755,0.535,0.234,0,1,TRBC1
0,1.6636486,0.658,0.34,0,1,RGS1
9.99E-185,1.64223224,0.344,0.209,2.96E-180,1,RP11-138A9.1
0,1.617817729,0.363,0.163,0,1,KLRB1
0,1.610259584,0.482,0.259,0,1,SAMSN1
4.93E-286,1.605935827,0.306,0.131,1.46E-281,1,SKAP1
