p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.61704877237653	0.333	0.033	0	0	LEF1
0	2.97155177097129	0.321	0.039	0	0	MAL
0	2.5262547456348	0.511	0.098	0	0	CCR7
0	2.28480307321187	0.705	0.197	0	0	IL7R
0	2.27724090985092	0.466	0.123	0	0	TCF7
0	2.24660866725823	0.26	0.061	0	0	FLT3LG
0	2.06086988679441	0.328	0.072	0	0	TRAT1
0	2.01902271346414	0.627	0.175	0	0	GIMAP7
0	1.95667809910079	0.553	0.184	0	0	PIK3IP1
0	1.92098369333726	0.501	0.158	0	0	SELL
0	1.7703441224197	0.474	0.263	0	0	NOSIP
0	1.73364916360598	0.323	0.12	0	0	GIMAP1
0	1.70845091467869	0.536	0.215	0	0	GIMAP4
0	1.65888488410859	0.933	0.32	0	0	TRAC
0	1.61198931384349	0.815	0.256	0	0	CD3E
0	1.59461376354881	0.542	0.157	0	0	CD3G
1.08343018656577e-233	1.58756392010862	0.293	0.138	3.21063701486899e-229	0	GIMAP2
3.24086883694175e-200	1.56527011032241	0.255	0.118	9.60399071139317e-196	0	RCAN3
0	1.54768989108628	0.904	0.373	0	0	LTB
0	1.48791464874428	0.753	0.306	0	0	TRBC2
0	1.46442310012885	0.339	0.11	0	0	CD6
0	1.43167821639371	0.501	0.205	0	0	TRAF3IP3
0	1.43074617482865	0.378	0.156	0	0	IFITM1
0	1.42740974931017	0.471	0.147	0	0	CD27
0	1.37113205371141	0.465	0.178	0	0	LAT
0	1.36566038270582	0.878	0.605	0	0	LDHB
0	1.35348579924731	0.874	0.291	0	0	CD3D
1.33549945754768e-254	1.35246647375204	0.337	0.16	3.95761909249679e-250	0	IL16
2.79369005123292e-276	1.34517000069886	0.282	0.11	8.27882109782363e-272	0	SIT1
2.03763183551968e-289	1.33604282274798	0.438	0.245	6.03831818137903e-285	0	AAK1
3.88055640965431e-18	1.25044717945918	0.258	0.219	1.14996408643696e-13	0	MT1X
4.12469508039176e-113	1.24989251999216	0.256	0.151	1.2223121401233e-108	0	DENND2D
0	1.21999312921822	0.658	0.354	0	0	FYB
0	1.19630332739239	0.608	0.232	0	0	LCK
5.31284715238962e-250	1.19415916352399	0.293	0.122	1.57440912513914e-245	0	FCMR
2.62129682700911e-178	1.19150340083156	0.328	0.181	7.76795101715878e-174	0	PBXIP1
8.81380483145595e-244	1.18063236178046	0.384	0.199	2.61188292375366e-239	0	ARHGAP15
0	1.16803926032579	0.475	0.211	0	0	CLEC2D
0	1.15493047160253	0.999	0.984	0	0	RPS29
0	1.15231873499875	0.529	0.235	0	0	TRBC1
1.02777671655641e-125	1.13784617335061	0.312	0.195	3.04571352184326e-121	0	ATM
0	1.12959241347625	1	0.996	0	0	RPS27
1.08395955372649e-255	1.11580016109074	0.4	0.204	3.21220574151307e-251	0	SEPT1
0	1.11330914417414	0.4	0.153	0	0	SPOCK2
0	1.11126766526774	0.755	0.565	0	0	RPL17
2.04850963555103e-146	1.10548356206021	0.377	0.251	6.07055345399193e-142	0	CCDC109B
0	1.0975084625281	1	0.994	0	0	RPL34
0	1.07491202754131	0.601	0.388	0	0	LEPROTL1
4.83419190414113e-153	1.05646192777252	0.351	0.213	1.43256442887318e-148	0	PSIP1
2.76852005067966e-198	1.05347561836967	0.417	0.251	8.20423231818409e-194	0	SEPT6
0	3.44041148699852	0.428	0.067	0	1	GZMK
0	3.40646391660032	0.409	0.092	0	1	DUSP4
0	3.11727272808618	0.36	0.062	0	1	CD8A
0	2.74869305654437	0.286	0.052	0	1	CD8B
0	2.5709283300504	0.265	0.063	0	1	CXCR3
0	2.50368739062141	0.273	0.068	0	1	TIGIT
0	2.3366071705866	0.771	0.256	0	1	CD2
0	2.29739524450291	0.268	0.07	0	1	SH2D1A
0	2.28876072699512	0.764	0.263	0	1	CCL5
0	2.28053131866415	0.617	0.165	0	1	GZMA
0	2.21615761736573	0.287	0.081	0	1	CD96
0	2.15019911428388	0.953	0.458	0	1	IL32
0	2.11114927050067	0.854	0.295	0	1	CD3D
0	2.07645342436971	0.408	0.174	0	1	APOBEC3G
0	1.9904688107646	0.291	0.119	0	1	FAM46C
0	1.97228685460427	0.535	0.317	0	1	CREM
0	1.94550699977985	0.32	0.114	0	1	CD6
0	1.94548767252985	0.875	0.331	0	1	TRAC
0	1.92182121080353	0.45	0.165	0	1	ITM2A
0	1.92045288675184	0.419	0.149	0	1	SPOCK2
0	1.87249677317356	0.501	0.165	0	1	CD3G
1.26021001160133e-292	1.83719143533382	0.41	0.24	3.73450634837939e-288	1	LINC00152
0	1.78734581338696	0.616	0.308	0	1	DUSP2
0	1.7803104657091	0.756	0.268	0	1	CD3E
0	1.76699764345147	0.367	0.16	0	1	RORA
2.05284464049088e-235	1.75048386118541	0.304	0.151	6.08339980763066e-231	1	CNOT6L
0	1.74940893083474	0.715	0.314	0	1	TRBC2
0	1.73950933237247	0.356	0.154	0	1	RUNX3
3.07616130338513e-189	1.71708230602566	0.259	0.127	9.1158964064515e-185	1	RP11-138A9.2
1.35196118183167e-274	1.71113994591132	0.413	0.237	4.00640176623998e-270	1	TUBA4A
0	1.70073962443249	0.434	0.186	0	1	FYN
0	1.679685295337	0.58	0.325	0	1	TNFAIP3
0	1.67857807683961	0.598	0.234	0	1	LCK
0	1.67110775455594	0.535	0.234	0	1	TRBC1
0	1.66364859979771	0.658	0.34	0	1	RGS1
9.9889343363057e-185	1.64223223993787	0.344	0.209	2.96012080122083e-180	1	RP11-138A9.1
0	1.61781772927129	0.363	0.163	0	1	KLRB1
0	1.61025958353798	0.482	0.259	0	1	SAMSN1
4.93111040083526e-286	1.60593582738955	0.306	0.131	1.46128525618352e-281	1	SKAP1
1.46593076427603e-229	1.59673501652164	0.334	0.174	4.34413922685558e-225	1	CD27
7.7820408391694e-200	1.57367208030425	0.252	0.116	2.30612998227946e-195	1	RASAL3
2.70910407797517e-212	1.57168774197317	0.252	0.111	8.02815902467163e-208	1	ETS1
0	1.52276598803868	0.849	0.53	0	1	CXCR4
0	1.51091624683802	0.587	0.391	0	1	LEPROTL1
0	1.50633732200107	0.824	0.669	0	1	ZFP36L2
8.03398693866436e-168	1.49680618800079	0.302	0.173	2.3807916894038e-163	1	EMB
1.79573688463152e-77	1.48791200644034	0.253	0.174	5.32148668391705e-73	1	PHLDA1
0	1.48062379878118	0.423	0.167	0	1	GZMM
0	1.44926699814609	0.551	0.266	0	1	CD7
0	1.44048018844847	0.567	0.364	0	1	RGCC
0	7.0495726503565	0.698	0.015	0	2	VPREB3
0	7.03658432511941	0.277	0.005	0	2	FCER2
0	6.93360878434892	0.402	0.008	0	2	LINC00926
0	6.70845744713785	0.282	0.007	0	2	RP5-887A10.1
0	6.67247772926438	0.349	0.009	0	2	CD19
0	6.63459003290986	0.836	0.021	0	2	MS4A1
0	6.47896067426626	0.595	0.021	0	2	BANK1
0	6.44376892570105	0.51	0.012	0	2	TNFRSF13C
0	6.3952624194114	0.32	0.009	0	2	FCRLA
0	6.31826597095179	0.316	0.007	0	2	BLK
0	5.88048484172738	0.951	0.048	0	2	CD79A
0	5.47565550854381	0.271	0.011	0	2	TNFRSF13B
0	5.31306698313122	0.348	0.02	0	2	CD22
0	5.21433589931096	0.288	0.02	0	2	HLA-DOB
0	4.84647342806819	0.777	0.075	0	2	CD79B
0	4.81635495772092	0.285	0.028	0	2	RALGPS2
0	4.79270643253559	0.272	0.02	0	2	RP11-231C14.7
0	4.64029709212485	0.262	0.019	0	2	POU2AF1
0	4.49300392384295	0.452	0.055	0	2	ADAM28
0	4.25624527785489	0.366	0.007	0	2	IGHD
0	4.22052599808564	0.303	0.016	0	2	TCL1A
0	4.08806715880283	0.293	0.045	0	2	ARHGAP24
0	4.0089564304372	0.26	0.044	0	2	BLNK
0	3.99127136244987	0.324	0.024	0	2	SPIB
0	3.73552173854082	0.352	0.051	0	2	GNG7
0	3.61537581447629	0.348	0.084	0	2	HVCN1
0	3.38355848865314	0.265	0.063	0	2	EAF2
0	3.28876577140631	0.502	0.114	0	2	MEF2C
0	3.07251014433303	0.438	0.093	0	2	POU2F2
0	3.04011229970536	0.324	0.077	0	2	PKIG
0	2.92566225529991	0.358	0.106	0	2	MARCH1
0	2.77424782144644	0.321	0.066	0	2	LY9
0	2.64698526042166	0.522	0.235	0	2	SMIM14
0	2.61704958102705	0.307	0.117	0	2	SWAP70
0	2.60371788015007	0.311	0.12	0	2	CD40
0	2.5766235106636	0.282	0.07	0	2	BCAS4
0	2.54864142553227	0.35	0.121	0	2	ORAI2
0	2.52546588341519	0.613	0.239	0	2	CD83
0	2.3777232199154	0.974	0.59	0	2	CD37
0	2.27990180931518	0.441	0.153	0	2	LY86
0	2.27814482254414	0.444	0.135	0	2	IRF8
3.59732287363552e-240	2.19738974197591	0.277	0.113	1.06603066037315e-235	2	NFKBID
0	2.15742333993866	0.415	0.115	0	2	FCMR
1.03277265460061e-212	2.04446574022469	0.27	0.116	3.06051848464345e-208	2	CYB561A3
0	1.95669642105654	0.388	0.1	0	2	CD24
1.06068435736158e-129	1.9562673938099	0.25	0.132	3.14323202460531e-125	2	TCOF1
4.74537085070015e-188	1.9274629840818	0.312	0.159	1.40624319789648e-183	2	PHACTR1
3.47781100353621e-278	1.92198053476325	0.275	0.098	1.03061451278792e-273	2	RIC3
0	1.84546173770021	1	0.815	0	2	CD74
0	1.83457189910654	0.496	0.223	0	2	NCF1
0	7.64742434749281	0.759	0.018	0	3	FGFBP2
0	6.93629548867277	0.573	0.015	0	3	KLRF1
0	5.90894610636382	0.341	0.01	0	3	S1PR5
0	5.38469758047371	0.808	0.086	0	3	GNLY
0	5.23201697774219	0.797	0.041	0	3	KLRD1
0	4.8789070579031	0.809	0.077	0	3	PRF1
0	4.83998578672819	0.49	0.058	0	3	SPON2
0	4.811454067131	0.996	0.199	0	3	NKG7
0	4.76088789504323	0.538	0.024	0	3	TRDC
0	4.61038980809894	0.286	0.034	0	3	TTC38
0	4.48891233227091	0.294	0.018	0	3	FCRL6
0	4.30236905707952	0.303	0.046	0	3	ADGRG1
0	4.23892466349564	0.815	0.088	0	3	GZMH
0	3.81601298133291	0.261	0.025	0	3	LAIR2
0	3.80082711574949	0.858	0.095	0	3	GZMB
0	3.67970566887006	0.785	0.128	0	3	CTSW
0	3.40726891041831	0.942	0.213	0	3	CST7
0	3.37837334508761	0.347	0.041	0	3	XCL2
