gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
NKG7	0	-4.478269222310282	0.101	0.813	0
GZMA	0	-3.162961965050897	0.167	0.821	0
CCL5	0	-2.8804553069036665	0.303	0.937	0
CCL4	0	-2.849510636854648	0.154	0.765	0
CD8A	0	-3.523957786837257	0.087	0.687	0
IL7R	0	2.2304766335222044	0.732	0.216	0
GZMH	0	-4.745382598258805	0.034	0.545	0
CD4	0	2.7441737213780324	0.614	0.116	0
PRF1	0	-3.4068584333027676	0.127	0.607	0
LTB	0	2.8184885666242305	0.607	0.15	0
GZMB	0	-3.988759870442645	0.059	0.511	0
CST7	0	-2.2284272358986743	0.242	0.692	0
CCL4L2	0	-3.0667108655479374	0.08	0.473	0
APOBEC3G	0	-1.860976581380545	0.248	0.628	0
CTSW	0	-3.087712786060416	0.068	0.441	0
SLAMF7	0	-3.37611945708422	0.052	0.407	0
KLRD1	0	-4.251487786244642	0.027	0.374	0
GNLY	0	-3.5589292606246286	0.086	0.427	0
GZMK	0	-2.8584372327245195	0.088	0.425	0
HLA-DPB1	0	-1.4945915732013693	0.302	0.625	0
SPOCK2	0	1.2465790038881788	0.812	0.504	0
EOMES	0	-3.6316778709982964	0.035	0.339	0
HLA-DRB1	0	-1.5068203495182997	0.266	0.564	0
IFNG	0	-2.416224986455757	0.087	0.38	0
HLA-DPA1	0	-1.4095185086680164	0.299	0.591	0
MAF	0	1.5348154813600345	0.631	0.343	0
HLA-DRA	0	-1.6526512363647858	0.273	0.552	0
APOBEC3C	0	-1.312122782098995	0.339	0.613	0
PTMS	0	-1.8670300484366886	0.14	0.412	0
TCF7	0	1.9968714993783157	0.403	0.132	0
PLEK	0	-3.3187814838726366	0.057	0.325	0
TRGC2	0	-2.621533964827484	0.07	0.337	0
CD8B	0	-3.040987228521204	0.038	0.304	0
SELL	0	2.026229136770856	0.391	0.132	0
CD63	0	-1.680906040016005	0.189	0.446	0
FASLG	0	-3.1698020713930832	0.037	0.294	0
BIRC3	0	1.4880621569416614	0.563	0.308	0
ITM2C	0	-2.5588352393450835	0.082	0.336	0
HCST	0	-1.031596575637186	0.419	0.672	0
DGKA	0	1.4260570741555116	0.506	0.259	0
LAG3	0	-2.012365307435391	0.086	0.329	0
CRTAM	0	-3.7588811084437843	0.028	0.27	0
TMEM123	0	1.403582183969546	0.482	0.243	0
ID2	0	-0.8492044143641913	0.388	0.626	0
PBXIP1	0	1.4039457437434228	0.441	0.204	0
ITGA1	0	-2.2019082309861107	0.072	0.306	0
GPR183	0	1.3675815127069813	0.425	0.192	0
CCL3	0	-2.8594453851841	0.051	0.282	0
HLA-DQA1	0	-1.7790006498271782	0.167	0.394	0
RAB27A	0	-1.079214671748805	0.344	0.568	0
FXYD5	0	1.139360322080794	0.575	0.356	0
PIM2	0	1.4474245755703294	0.515	0.299	0
LEF1	0	3.124045607573593	0.254	0.039	0
RUNX3	0	-0.8824894061375894	0.366	0.577	0
SOCS3	0	1.408462800462498	0.416	0.206	0
ITGAE	0	-2.340541019859498	0.07	0.279	0
F2R	0	-1.5421986528588807	0.11	0.314	0
LINC01871	0	-1.4946637086669592	0.112	0.314	0
IKZF3	0	-0.7595207614841217	0.468	0.667	0
RHOB	0	-1.53398109267492	0.204	0.401	0
CCR7	0	2.369675679817984	0.257	0.06	0
HAVCR2	0	-2.216388550243139	0.079	0.276	0
IL6ST	0	1.6961263374740307	0.359	0.162	0
ADGRE5	0	-1.1409221549945627	0.225	0.421	0
CLEC2B	0	-1.0831292246083208	0.201	0.396	0
DUSP1	0	0.8701436376206186	0.671	0.481	0
LITAF	0	-1.0347844243504585	0.284	0.469	0
PIK3IP1	0	1.0398572386468299	0.431	0.247	0
CD28	0	1.50750019443627	0.289	0.108	0
APMAP	0	-1.2387554953760804	0.176	0.355	0
RORA	0	1.0897714738230917	0.395	0.217	0
TMEM173	0	1.2778268235764905	0.36	0.189	0
TBC1D4	0	1.5044826508728966	0.326	0.156	0
SMAP2	0	0.8821442391645937	0.562	0.393	0
FOS	0	0.9910136170451631	0.693	0.53	0
RPL4	0	0.7610396413255938	0.833	0.699	0
CD74	0	-1.1185441160576017	0.8	0.925	0
JUNB	0	1.0550598401630698	0.907	0.785	0
RPL3	0	0.6141526496357987	0.848	0.741	0
RPL8	0	0.5719478648374818	0.815	0.713	0
RPS3A	0	0.6505168802622645	0.843	0.742	0
RPS23	0	0.5336558431935772	0.849	0.754	0
RPS5	0	0.5825928665458227	0.857	0.77	0
RPL5	0	0.6151072036213066	0.885	0.803	0
RPL11	0	0.6249832005266436	0.92	0.843	0
RPS4X	0	0.6489624545690797	0.93	0.855	0
LCP1	0	-0.4782479684486738	0.818	0.892	0
PABPC1	0	0.8739611480478091	0.947	0.875	0
RPL19	0	0.5374776497401359	0.907	0.836	0
RPL13	0	0.5456948882427879	0.915	0.852	0
SH3BGRL3	0	-0.4964625176412927	0.842	0.905	0
RPS13	0	0.5913147200177407	0.928	0.868	0
RPL9	0	0.5985499400691539	0.955	0.897	0
RPLP1	0	0.5430327108774797	0.962	0.914	0
RPL39	0	0.49652302779511315	0.95	0.904	0
RPL32	0	0.6752432015685406	0.971	0.926	0
RPS12	0	0.5038720244683987	0.936	0.892	0
RPS18	0	0.4745007612383434	0.942	0.9	0
RPLP2	0	0.46727624026509895	0.94	0.904	0
RPS8	0	0.6356280559832275	0.978	0.946	0
RPS16	0	0.4194135517583595	0.965	0.935	0
RPL23	0	0.3656056131525123	0.975	0.95	0
CFL1	0	-0.40713693082679914	0.935	0.959	0
RPL30	0	0.49061623080309946	0.978	0.959	0
RPL31	0	0.4045780544097237	0.974	0.958	0
RPS27A	0	0.4385605103826684	0.982	0.968	0
RPS6	0	0.6343201944126591	0.992	0.979	0
RPL34	0	0.5934080058073912	0.992	0.98	0
EEF1A1	0	0.6517774451120442	0.999	0.994	0
HLA-B	0	-0.32910312699716293	0.989	0.994	0
HLA-C	0	-0.4879694805453534	0.993	0.998	0
TPT1	0	0.8316911069747945	0.998	0.993	0
RPS29	0	0.3556020396500532	0.996	0.992	0
RPL36	6.753517143196739e-306	0.5269951055605211	0.852	0.758	1.6405643844253518e-301
RPL37	1.273353899914059e-302	0.3919599064688608	0.966	0.943	3.093231293671232e-298
SATB1	2.761485501312866e-300	1.328841859091687	0.297	0.141	6.708200579789214e-296
LYST	5.093109581465587e-296	-1.282150852626188	0.163	0.331	1.2372181795296202e-291
CD81	1.420597994613493e-291	-0.9080826691523493	0.285	0.469	3.450916648515097e-287
SARAF	1.4987344590704389e-291	0.6448374371123249	0.727	0.599	3.64072574797391e-287
GSTP1	2.2522804387591096e-291	-1.4082658135966013	0.114	0.273	5.471239641833629e-287
CCR5	3.5498745774172275e-291	-1.3996993986885917	0.115	0.273	8.623355323461929e-287
BTG1	5.109978378421506e-286	0.5518828145614298	0.887	0.808	1.2413159476861523e-281
KLRB1	1.2070865361304491e-279	1.3876724366135107	0.257	0.114	2.932254613568087e-275
ICOS	6.972819253124582e-278	1.3021894657382396	0.327	0.175	1.6938372529690236e-273
RPL38	4.903505060196662e-268	0.4190225452456082	0.924	0.88	1.1911594492229733e-263
RPS28	1.3157516185086223e-265	0.4523171798435972	0.878	0.803	3.1962238316811455e-261
NAP1L1	3.350372684150502e-264	0.506571768172599	0.84	0.737	8.138725324338399e-260
NFKBIA	4.125625183523736e-261	0.8887457974058368	0.565	0.413	1.0021968695815861e-256
RPL13A	8.758971184227274e-258	0.36257828198684994	0.966	0.937	2.1277292800724895e-253
RPL12	1.4937060774570046e-248	0.4205919845764341	0.908	0.861	3.6285108033585556e-244
ITGB7	2.8108671804664897e-246	-1.2246842459795602	0.117	0.262	6.828158554789197e-242
EEF1B2	4.63892664878019e-246	0.7239325292354353	0.6	0.459	1.1268880615216838e-241
FCMR	3.5587854702349063e-240	1.0230802661237255	0.337	0.187	8.645001664294634e-236
CD99	7.552675522892484e-239	-0.5744551739053485	0.495	0.655	1.8346959380210422e-234
FTH1	1.1251937714576249e-237	0.5913710279129223	0.782	0.694	2.7333207096248625e-233
RPS3	2.912385005163953e-234	0.3936794657836784	0.929	0.888	7.074765654544274e-230
IRF2BP2	3.326627459452843e-232	0.8374272423548745	0.502	0.358	8.081043424502846e-228
RPS20	1.3276918270242556e-229	0.39926900257570885	0.921	0.876	3.2252289862073215e-225
PTPN22	1.0146876890575869e-227	-0.9500811658598791	0.217	0.373	2.4648793342586902e-223
ACTN4	1.4320577478280144e-227	-0.6284043500314702	0.435	0.595	3.4787546810238126e-223
ANXA5	3.604185277410146e-225	-0.9746142660811647	0.231	0.38	8.755286875884727e-221
RCAN3	1.0680766157267342e-220	1.0512445679277045	0.322	0.185	2.5945717149233827e-216
RPL21	3.9178096776099583e-218	0.3731796090616948	0.952	0.929	9.51714326885011e-214
RPS14	4.4274131745734417e-212	0.3912224589682465	0.909	0.865	1.0755072083673805e-207
RPL10A	5.920092555370271e-210	0.4418819575515802	0.857	0.8	1.4381088835505463e-205
ARPC2	5.792954178535313e-207	-0.4117410945055626	0.75	0.826	1.4072244290497984e-202
PFKFB3	2.635902627250788e-206	1.1754489325042725	0.27	0.144	6.403134662117615e-202
CTSB	2.0669342351576577e-205	0.7302922479618483	0.5	0.365	5.020996644044982e-201
LIMS1	9.875049487467708e-205	0.9822683291376316	0.358	0.225	2.3988470214956556e-200
PHACTR2	7.075663260083434e-202	1.0927989397514684	0.277	0.151	1.7188201191394678e-197
ANXA2	9.930023073650908e-202	-0.7484053932536805	0.292	0.447	2.4122012050512785e-197
RPL35A	4.187264835369322e-199	0.3616931987443195	0.915	0.871	1.0171703738079157e-194
RPL14	2.4333951339297123e-197	0.4428187798859695	0.822	0.739	5.911203459342057e-193
RARRES3	1.2474560944895576e-193	-0.6912708429702628	0.349	0.499	3.0303203447340334e-189
HLA-DQB1	2.40407315111105e-193	-1.120445047908135	0.128	0.256	5.839974498678963e-189
CD5	6.194334473152372e-191	0.8125204668511782	0.365	0.227	1.5047277302181743e-186
NR3C1	5.432861094211645e-190	0.954415623177493	0.404	0.279	1.319750617005893e-185
ZFP36L2	7.70978985861171e-188	0.5758163309472377	0.779	0.701	1.8728621524539566e-183
CTSC	4.441583939511521e-183	-0.6911192044175515	0.267	0.416	1.0789495705861387e-178
MSN	8.305999982672429e-180	-0.5112324778180917	0.516	0.645	2.0176935157907864e-175
RPL37A	8.781223219502148e-179	0.308039483923098	0.958	0.937	2.133134744481462e-174
PFN1	2.815166197691828e-178	-0.3014891215940665	0.928	0.951	6.838601727432988e-174
FYB1	6.065851596979956e-177	0.43007183925126213	0.874	0.822	1.4735166699383708e-172
RPS21	1.6183267824298165e-176	0.3892865251425959	0.862	0.807	3.9312394198785105e-172
TRAC	5.291823441750403e-175	0.35423359059606074	0.921	0.828	1.285489750470008e-170
RPL7	9.395225387924338e-175	0.6235449452796931	0.56	0.443	2.2822881512345803e-170
RACK1	4.96893624185693e-174	0.4373187746841207	0.771	0.686	1.2070539918718853e-169
RPL22	7.04152482295339e-174	0.7466511504622646	0.431	0.302	1.7105272099918374e-169
ITGB2	2.1028328984904466e-173	-0.6230771171449199	0.441	0.567	5.108201677012993e-169
SLA2	2.4475805301102997e-173	-0.9890303018123883	0.153	0.279	5.94566262374394e-169
LSP1	7.896758711110416e-173	-0.4856857964909813	0.557	0.67	1.9182806261029422e-168
EFHD2	1.3432875042645088e-172	-0.8694104345865432	0.335	0.466	3.2631140053593447e-168
CMIP	2.63124266615632e-172	-0.7840210109699722	0.248	0.385	6.391814684626932e-168
EEF2	4.752502849187046e-172	0.5649543849530769	0.596	0.479	1.1544779921245172e-167
RPS17	3.997536612791758e-171	0.4005775312873894	0.84	0.781	9.710815939793739e-167
SEPT6	3.497545024910765e-170	0.6417939024057231	0.512	0.385	8.496236374513231e-166
RPS25	1.4662788596086948e-167	0.39453195077334424	0.807	0.737	3.5618846057614414e-163
RPS2	4.154951214184978e-167	0.38928506443926736	0.835	0.767	1.0093207489498148e-162
ARID5B	8.19264314814893e-167	0.9354599117192918	0.309	0.19	1.990156873548338e-162
TNFAIP8	4.540512066864853e-166	0.7471617931948361	0.407	0.28	1.10298119128281e-161
CXCR4	8.565356092181466e-166	0.37558474164004974	0.872	0.791	2.0806963019127216e-161
AL022718.1	6.206654743647977e-163	0.5936307480725198	0.557	0.442	1.5077205703269666e-158
PSMB9	4.131491962741805e-162	-0.7206356176438496	0.266	0.397	1.0036220275892393e-157
RPL29	3.7085293122382173e-160	0.41123679328734	0.816	0.748	9.008759405289077e-156
RPL27	1.2440874585632758e-159	0.35519158967081044	0.879	0.836	3.0221372543419094e-155
CTLA4	1.6820544567992002e-156	1.0961216904999453	0.348	0.237	4.086046686456617e-152
SLC7A5	5.347829061006685e-156	-0.8900636830624611	0.161	0.28	1.2990946354997439e-151
BTG2	1.0612880387389818e-155	0.5819523533644069	0.632	0.519	2.5780809037047344e-151
RNASET2	1.5584853659002904e-153	0.9297728358989239	0.281	0.169	3.7858726508449853e-149
