p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.086757992432573	0.875	0.179	0	0	GZMK
0	1.9904482152642484	0.579	0.206	0	0	SLAMF7
0	2.1245974827749308	0.512	0.159	0	0	EOMES
0	0.6960349861580406	0.973	0.621	0	0	CCL5
0	0.6976695914015769	0.83	0.5	0	0	GZMA
0	1.2666639079290611	0.769	0.457	0	0	CST7
0	0.8162245352678994	0.668	0.391	0	0	CD8A
0	1.8393277758140438	0.467	0.19	0	0	ITM2C
0	1.2381840839395557	0.42	0.18	0	0	PLEK
0	1.7958258267496188	0.537	0.308	0	0	CLDND1
0	2.2195263810501458	0.258	0.075	0	0	KLRG1
0	0.8698412200224244	0.972	0.855	0	0	CD74
0	0.40472244788951617	0.996	0.993	0	0	RPS29
1.022294548434938e-295	1.0358584744168564	0.337	0.139	2.4833579170581515e-291	0	CRTAM
3.0166469863128847e-280	1.2990820697258458	0.492	0.304	7.32803885915126e-276	0	SH2D1A
3.5079160898494076e-253	0.4293266493111725	0.97	0.952	8.521429765462181e-249	0	RPL27A
7.993893967435934e-248	0.4112671036189379	0.97	0.946	1.941876722569537e-243	0	RPL13A
1.2102762503938182e-211	0.45601856038321387	0.997	0.994	2.940003067456663e-207	0	MALAT1
2.1302912040741835e-207	0.44979859139609246	0.927	0.896	5.174903392937006e-203	0	RPL28
2.423787244436731e-203	0.8207126764761783	0.619	0.47	5.887863974185706e-199	0	HLA-DPB1
1.7779211809975233e-196	1.2350761408724065	0.364	0.204	4.318926132879184e-192	0	F2R
3.5257275933590883e-187	0.32219918070623077	0.985	0.979	8.564697469787898e-183	0	HLA-E
4.717783949455457e-182	0.8315801718189442	0.563	0.407	1.1460440770017196e-177	0	GIMAP7
2.6288721870504174e-178	0.38110006968657295	0.939	0.924	6.386056316782874e-174	0	RPS27
8.367308937181515e-177	1.2365725816135393	0.32	0.171	2.0325866870201337e-172	0	TC2N
9.375312005086313e-166	0.4198191008088141	0.908	0.888	2.2774507922755673e-161	0	RPS15A
2.629438040573226e-154	0.446333464479455	0.862	0.816	6.387430888160481e-150	0	RPL23A
4.9209315507030815e-146	0.35584259161369225	0.942	0.915	1.1953926922967925e-141	0	RPLP2
3.137528457488228e-145	0.8672668749930039	0.486	0.352	7.621684128930404e-141	0	GIMAP4
1.048911763321721e-142	0.5990695214683308	0.712	0.604	2.5480164554611247e-138	0	AHNAK
2.11248924162105e-137	0.36029027301436845	0.953	0.938	5.1316588657458544e-133	0	PTPRC
2.0551925699989815e-136	0.8440678786022098	0.496	0.378	4.992473791041526e-132	0	CD81
1.6664467113375285e-126	1.2109158522632462	0.308	0.188	4.048132351181124e-122	0	CCR5
2.1842824020247353e-118	0.5718290522064535	0.716	0.665	5.306058810998487e-114	0	PTP4A2
3.565111353637635e-114	0.6174614008436576	0.595	0.5	8.660368500256543e-110	0	CD48
6.44927566365009e-114	0.3093377726841515	0.901	0.874	1.56665804421388e-109	0	RPL13
4.9023344010968155e-108	0.5808332216888226	0.645	0.566	1.1908750727144383e-103	0	KIAA1551
1.833423495410711e-96	0.9757555076502966	0.282	0.174	4.453752355051699e-92	0	CD8B
1.2382041551494997e-95	0.802554825695543	0.429	0.326	3.007845533689165e-91	0	BTN3A1
4.53666207109405e-94	0.5857328084672049	0.559	0.456	1.1020459503101667e-89	0	HLA-DPA1
1.5945537694154041e-93	0.32951169438165495	0.886	0.859	3.8734900166638996e-89	0	LCP1
4.086617191501864e-90	0.25670752246395256	0.937	0.921	9.927210481596328e-86	0	RPL39
1.0118963668321136e-88	0.5081122557670321	0.665	0.599	2.4580986543085705e-84	0	CNN2
1.6408119528919224e-88	0.5397312898453834	0.564	0.457	3.985860395965058e-84	0	APOBEC3G
4.822413532906257e-87	0.5002320330333667	0.635	0.557	1.171460695413588e-82	0	HCST
8.0244040157681715e-87	0.5179964752112083	0.658	0.611	1.9492882235104043e-82	0	HLA-F
1.4650095261277442e-86	0.6537012538907581	0.51	0.422	3.558801140869516e-82	0	RARRES3
2.369172637470181e-86	0.9045924977792487	0.374	0.278	5.755194170942564e-82	0	NFATC2
3.504520228311011e-86	0.2678652904674239	0.926	0.901	8.513180538613108e-82	0	RPS3
4.851946661739956e-85	0.9236581350252135	0.345	0.245	1.1786348830698702e-80	0	MIAT
2.4564514506367653e-84	0.5424545948284121	0.596	0.519	5.9672118638868304e-80	0	COTL1
1.2080395173908989e-82	0.8553014620015947	0.35	0.254	2.9345695956459714e-78	0	DENND2D
2.3717336747977442e-79	0.3502973236259086	0.792	0.761	5.76141544281868e-75	0	RPS25
3.101277226648595e-75	0.8901557458262468	0.277	0.184	7.533622638974767e-71	0	TRAT1
1.7125050834662964e-73	0.5639294959002701	0.587	0.535	4.160017348756327e-69	0	WNK1
2.603942118733452e-73	0.5525255563501279	0.541	0.47	6.325496194827302e-69	0	ITGAL
