p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,4.113590992,0.316,0.04,0,0,TCF7
0,3.476897416,0.315,0.049,0,0,GZMK
0,3.404216789,0.522,0.196,0,0,IL7R
0,3.05319019,0.474,0.149,0,0,GIMAP7
0,3.022810473,0.287,0.057,0,0,CD5
0,2.96257453,0.472,0.103,0,0,BCL11B
0,2.625397939,0.347,0.083,0,0,ITK
0,2.579108096,0.26,0.067,0,0,CD247
0,2.573145179,0.31,0.077,0,0,SH2D1A
0,2.544475398,0.299,0.121,0,0,RORA
0,2.49956881,0.309,0.09,0,0,PYHIN1
0,2.493550236,0.825,0.195,0,0,CD3E
0,2.423593957,0.498,0.128,0,0,TRBC1
0,2.390454339,0.458,0.124,0,0,LCK
0,2.381671428,0.632,0.163,0,0,SPOCK2
0,2.363907954,0.278,0.084,0,0,SKAP1
0,2.336158269,0.291,0.112,0,0,NFATC2
0,2.333422876,0.868,0.268,0,0,TRBC2
0,2.312517498,0.846,0.219,0,0,TRAC
0,2.30605648,0.734,0.243,0,0,ETS1
0,2.295973961,0.588,0.144,0,0,CD3G
0,2.265980415,0.565,0.241,0,0,SYNE2
0,2.244699318,0.403,0.147,0,0,RASGRP1
0,2.22369023,0.277,0.114,0,0,SLAMF6
0,2.223483349,0.921,0.333,0,0,IL32
0,2.193502799,0.6,0.209,0,0,FYN
0,2.190198194,0.808,0.195,0,0,CD2
0,2.170356052,0.38,0.221,0,0,DGKA
0,2.158734122,0.535,0.322,0,0,SLFN5
0,2.157933494,0.525,0.14,0,0,CD3D
0,2.064545363,0.283,0.202,0,0,DENND2D
0,2.064483431,0.456,0.303,0,0,RBL2
0,2.045537343,0.38,0.192,0,0,PRKCH
0,2.037539335,0.293,0.092,0,0,GPR171
0,2.035705267,0.441,0.184,0,0,1-Sep
0,2.029859145,0.504,0.15,0,0,CD96
0,2.019698959,0.28,0.146,0,0,SYNE1
0,1.973438659,0.465,0.308,0,0,MAF
0,1.969552847,0.268,0.153,0,0,FAM102A
0,1.922379804,0.342,0.215,0,0,PIK3IP1
0,1.906042699,0.343,0.161,0,0,TRAF3IP3
0,1.903123495,0.321,0.225,0,0,BCL9L
0,1.898276834,0.439,0.279,0,0,GPRIN3
0,1.889556118,0.473,0.28,0,0,ITGAL
0,1.867916071,0.53,0.296,0,0,EMB
0,1.829950607,0.473,0.17,0,0,ITM2A
0,1.818571425,0.319,0.197,0,0,PBXIP1
1.87E-241,1.816244539,0.261,0.197,4.55E-237,0,ARHGEF3
0,1.811793946,0.413,0.322,0,0,PIK3R1
0,1.801691463,0.284,0.182,0,0,ARAP2
0,8.572384288,0.923,0.038,0,1,FCGR3B
0,8.320240575,0.616,0.011,0,1,CXCR1
0,8.245845152,0.752,0.025,0,1,CXCR2
0,8.18682717,0.422,0.009,0,1,CMTM2
0,7.694924998,0.297,0.009,0,1,PROK2
0,7.652872349,0.444,0.017,0,1,FFAR2
0,7.106554452,0.279,0.013,0,1,MMP25
0,6.662431031,0.348,0.02,0,1,DGAT2
0,6.472932335,0.958,0.187,0,1,CSF3R
0,6.443839866,0.361,0.024,0,1,AL034397.3
0,6.317084941,0.451,0.037,0,1,LRG1
0,6.04254189,0.366,0.035,0,1,MME
0,6.038243006,0.302,0.039,0,1,HCAR3
0,5.889123986,0.324,0.032,0,1,TNFAIP6
0,5.705422682,0.871,0.144,0,1,G0S2
0,5.65753427,0.72,0.112,0,1,CLEC4E
0,5.601405335,0.528,0.075,0,1,VNN2
0,5.480562834,0.391,0.05,0,1,KCNJ15
0,5.470592411,0.332,0.025,0,1,ALPL
0,5.450690884,0.362,0.052,0,1,FPR2
0,5.318192197,0.729,0.195,0,1,CXCL8
0,5.267146859,0.331,0.066,0,1,HCAR2
0,5.153716547,0.338,0.066,0,1,CREB5
0,5.085124549,0.416,0.037,0,1,STEAP4
0,5.04249399,0.897,0.205,0,1,S100A8
0,5.023624218,0.262,0.045,0,1,RASGRP4
0,5.006605981,0.856,0.256,0,1,SLC25A37
0,4.994017425,0.528,0.1,0,1,P2RY13
0,4.969131779,0.301,0.058,0,1,CDA
0,4.962665736,0.593,0.07,0,1,IL1R2
0,4.917992666,0.722,0.213,0,1,GCA
0,4.89595773,0.873,0.19,0,1,FPR1
0,4.792069952,0.92,0.25,0,1,S100A9
0,4.78404504,0.746,0.215,0,1,MNDA
0,4.770302438,0.473,0.122,0,1,MSRB1
0,4.762807883,0.401,0.085,0,1,OSM
0,4.742705839,0.986,0.619,0,1,IFITM2
0,4.679716202,0.697,0.144,0,1,AQP9
0,4.678556914,0.26,0.052,0,1,LUCAT1
0,4.610592766,0.441,0.098,0,1,PTGS2
0,4.448596337,0.832,0.24,0,1,MXD1
0,4.405838273,0.518,0.149,0,1,TLR2
0,4.352281759,0.279,0.08,0,1,DOCK5
0,4.308815423,0.416,0.129,0,1,IFIT2
0,4.300758426,0.55,0.134,0,1,TREM1
0,4.285564059,0.958,0.351,0,1,NAMPT
0,4.264003099,0.501,0.112,0,1,LRRK2
0,4.21281365,0.304,0.083,0,1,RNF24
0,4.199610442,0.521,0.159,0,1,CSF2RB
0,4.197413948,0.736,0.257,0,1,MBOAT7
0,4.308497449,0.357,0.035,0,2,TNFRSF9
0,3.77405897,0.583,0.108,0,2,GNLY
0,3.764865616,0.706,0.098,0,2,GZMB
0,3.701599805,0.539,0.067,0,2,LAG3
0,3.697213478,0.556,0.072,0,2,IFNG
0,3.405590503,0.393,0.079,0,2,MYO7A
0,3.219058163,0.255,0.04,0,2,WHRN
0,3.20412231,0.356,0.051,0,2,AKAP5
0,3.136470889,0.506,0.066,0,2,CXCL13
0,3.068961205,0.377,0.052,0,2,FASLG
0,3.046650705,0.267,0.05,0,2,TNIP3
0,3.013066569,0.252,0.078,0,2,TNFSF9
0,2.963260597,0.526,0.084,0,2,CTLA4
0,2.961913165,0.385,0.101,0,2,CSF1
0,2.908929956,0.703,0.13,0,2,PRF1
0,2.899647238,0.694,0.152,0,2,DUSP4
0,2.864323511,0.446,0.068,0,2,LINC01871
0,2.83075822,0.422,0.113,0,2,ITGAE
0,2.694460474,0.399,0.068,0,2,PDCD1
0,2.655098925,0.268,0.107,0,2,CRTAM
0,2.571494285,0.704,0.146,0,2,TIGIT
0,2.561037653,0.753,0.18,0,2,CD7
0,2.558944108,0.78,0.218,0,2,NKG7
0,2.550573613,0.565,0.105,0,2,GZMH
0,2.519775342,0.68,0.147,0,2,CD8A
0,2.510545253,0.546,0.19,0,2,PHLDA1
0,2.45238992,0.521,0.112,0,2,SH2D2A
0,2.452051587,0.398,0.076,0,2,ITGA1
0,2.445663806,0.446,0.071,0,2,KLRD1
0,2.410339836,0.362,0.06,0,2,CXCR6
0,2.394980594,0.854,0.299,0,2,CCL5
0,2.380402775,0.752,0.327,0,2,CCL4
0,2.375567156,0.751,0.197,0,2,GZMA
0,2.331884479,0.477,0.095,0,2,SIRPG
0,2.273228723,0.373,0.075,0,2,SLA2
0,2.259997914,0.754,0.195,0,2,IL2RB
0,2.238366583,0.333,0.081,0,2,ICOS
0,2.189213052,0.49,0.236,0,2,HAVCR2
0,2.18391265,0.328,0.11,0,2,BATF
0,2.178620941,0.314,0.06,0,2,CD8B
0,2.147440316,0.69,0.248,0,2,CCND2
0,2.106632306,0.713,0.283,0,2,APOBEC3G
0,2.082457236,0.504,0.174,0,2,PTPN22
0,2.072350407,0.467,0.182,0,2,CBLB
0,2.024194233,0.437,0.107,0,2,CTSW
0,2.00287106,0.519,0.244,0,2,CCL4L2
0,1.984047597,0.302,0.135,0,2,CHST12
0,1.969021833,0.28,0.126,0,2,NDFIP2
0,1.944873865,0.477,0.2,0,2,SLC7A5
